time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-29T00:00:43.350Z,37.1175,-97.6223333,4.38,2.55,ml,20,77,0.01887,0.06,ismpkansas,ismpkansas70148273,2015-10-29T23:33:50.334Z,"9km N of Caldwell, Kansas",earthquake
2015-10-28T23:26:26.660Z,36.5257,70.3173,201.27,4.3,mb,,71,0.633,0.56,us,us200040cc,2015-10-29T07:28:59.694Z,"41km E of Farkhar, Afghanistan",earthquake
2015-10-28T22:02:45.130Z,-0.181,123.0249,98.37,4.6,mb,,59,0.891,0.84,us,us200040by,2015-10-29T06:05:21.512Z,"65km SSW of Bilungala, Indonesia",earthquake
2015-10-28T21:32:30.000Z,63.4323,-151.3381,12.7,3.3,ml,,,,0.66,ak,ak11756848,2015-10-29T00:06:32.484Z,"119km W of Cantwell, Alaska",earthquake
2015-10-28T20:46:41.640Z,-10.9806,166.3753,151.9,5.8,mwb,,24,4.512,1.02,us,us200040b8,2015-10-29T09:32:46.040Z,"66km ESE of Lata, Solomon Islands",earthquake
2015-10-28T20:42:15.540Z,43.0498333,-74.3781667,6.13,2.5,ml,30,32,0.3532,0.34,ld,ld60104306,2015-10-30T01:09:37.424Z,"3km NW of Johnstown, New York",earthquake
2015-10-28T19:21:40.500Z,18.3122,-67.3462,4,2.6,Md,5,270,0.27129122,0.15,pr,pr15301003,2015-10-29T03:25:42.304Z,"10km WSW of Rincon, Puerto Rico",earthquake
2015-10-28T17:05:31.000Z,60.1226,-153.255,100,2.7,ml,,,,0.95,ak,ak11756637,2015-10-29T00:06:10.858Z,"49km SW of Redoubt Volcano, Alaska",earthquake
2015-10-28T16:20:02.040Z,40.81,27.76,10,4.4,mwr,,,,0.77,us,us2000408w,2015-10-28T21:44:37.049Z,"24km SW of Marmaraereglisi, Turkey",earthquake
2015-10-28T15:29:41.110Z,36.5196,70.2761,206.43,4.1,mb,,91,0.651,0.41,us,us2000407f,2015-10-28T23:32:19.939Z,"37km E of Farkhar, Afghanistan",earthquake
2015-10-28T14:22:23.527Z,39.0892,-119.6352,10.5,3,ml,31,73.02,0.028,0.1704,nn,nn00516642,2015-10-29T04:12:39.155Z,"8km ENE of Johnson Lane, Nevada",earthquake
2015-10-28T14:16:33.400Z,36.5355,70.2829,195.61,4.4,mb,,91,0.634,0.89,us,us2000405i,2015-10-28T22:19:16.621Z,"38km E of Farkhar, Afghanistan",earthquake
2015-10-28T14:04:55.330Z,13.8368,-58.3578,20.17,5,mb,,134,1.356,0.95,us,us2000405f,2015-10-28T22:07:34.070Z,"142km ENE of Bathsheba, Barbados",earthquake
2015-10-28T13:33:45.070Z,-45.3204,166.8818,27.22,4.3,mb,,97,0.239,0.82,us,us2000405c,2015-10-28T21:36:23.102Z,"66km W of Te Anau, New Zealand",earthquake
2015-10-28T10:41:15.320Z,-8.164,130.6377,24.2,4.4,mb,,78,4.675,0.6,us,us2000404z,2015-10-28T18:43:56.943Z,"78km WSW of Saumlaki, Indonesia",earthquake
2015-10-28T10:26:07.750Z,19.4208333,-155.628,3.94,2.66,ml,37,112,0.018,0.13,hv,hv61081521,2015-10-28T18:28:38.915Z,"25km E of Honaunau-Napoopoo, Hawaii",earthquake
2015-10-28T10:04:17.790Z,36.4877,70.3364,209.75,4.4,mb,,79,0.665,0.75,us,us2000403q,2015-10-28T11:05:58.580Z,"43km ESE of Farkhar, Afghanistan",earthquake
2015-10-28T09:08:01.670Z,-23.1758,-70.4821,25.96,4.8,mb,,131,0.342,1.31,us,us2000403h,2015-10-29T00:48:49.040Z,"53km N of Antofagasta, Chile",earthquake
2015-10-28T07:27:49.790Z,37.777668,-121.9601669,6.78,2.55,md,23,52,0.08502,0.06,nc,nc72545165,2015-10-28T21:33:40.018Z,"1km E of San Ramon, California",earthquake
2015-10-28T07:18:48.000Z,67.6912,-146.6435,0,2.7,ml,,,,0.99,ak,ak11756304,2015-10-28T15:21:39.607Z,"67km SW of Arctic Village, Alaska",earthquake
2015-10-28T05:44:10.000Z,59.4704,-152.9291,46.2,2.5,ml,,,,0.95,ak,ak11756261,2015-10-28T13:46:38.019Z,"70km WSW of Anchor Point, Alaska",earthquake
2015-10-28T05:27:37.000Z,61.099,-149.5913,18.6,2.6,ml,,,,0.8,ak,ak11756256,2015-10-28T13:30:14.384Z,"21km SE of Anchorage, Alaska",earthquake
2015-10-28T04:12:08.220Z,-30.3163,-71.5788,36.61,4,mb,,132,0.359,1.15,us,us2000402g,2015-10-28T12:14:52.632Z,"46km SSW of Coquimbo, Chile",earthquake
2015-10-28T03:33:35.000Z,59.9974,-153.1007,100,2.5,ml,,,,1.1,ak,ak11756216,2015-10-28T11:36:11.998Z,"57km SSW of Redoubt Volcano, Alaska",earthquake
2015-10-28T03:11:04.530Z,37.7746658,-121.9649963,6.56,2.67,md,8,127,0.08684,0.05,nc,nc72545075,2015-10-28T15:47:04.324Z,"1km ESE of San Ramon, California",earthquake
2015-10-28T03:10:59.940Z,37.7768326,-121.9585037,5.4,2.74,md,12,92,0.08622,0.05,nc,nc72545070,2015-10-28T15:46:33.946Z,"1km ESE of San Ramon, California",earthquake
2015-10-28T02:25:54.830Z,32.8566667,-116.1795,4.27,2.75,ml,75,55,0.1795,0.23,ci,ci37264719,2015-10-28T14:01:16.060Z,"22km NW of Ocotillo, California",earthquake
2015-10-28T02:12:27.500Z,18.1154,-66.574,19,2.5,Md,15,57.6,0.04042419,0.2,pr,pr15301000,2015-10-28T10:14:57.228Z,"7km NNW of Coto Laurel, Puerto Rico",earthquake
2015-10-28T00:07:33.410Z,37.7775,-121.9635,8.98,3.13,ml,118,52,0.01286,0.09,nc,nc72545010,2015-10-29T04:34:50.696Z,"1km ESE of San Ramon, California",earthquake
2015-10-28T00:04:08.010Z,36.5266,70.2867,208.2,4.1,mb,,94,0.641,0.58,us,us20004011,2015-10-28T08:06:47.255Z,"38km E of Farkhar, Afghanistan",earthquake
2015-10-27T22:49:41.710Z,13.2901,-88.0822,143.79,5.2,mb,,125,1.095,0.96,us,us20004005,2015-10-28T06:52:12.901Z,"9km NE of Chirilagua, El Salvador",earthquake
2015-10-27T22:25:07.220Z,16.725,-98.051,35,4.5,mb,,178,0.968,0.95,us,us20004000,2015-10-28T06:27:36.346Z,"8km WSW of Santa Maria Zacatepec, Mexico",earthquake
